celeb_name,desc
Shah Rukh Khan,"Shah Rukh Khan (pronounced [ˈʃaːɦɾʊx xäːn] ; born 2 November 1965), also known by the initialism SRK, is an Indian actor and film producer who works in Hindi cinema. Referred to in the media as the ""Baadshah of Bollywood"" and ""King Khan"", he has appeared in more than 100 films, and earned numerous accolades, including 14 Filmfare Awards. He has been awarded the Padma Shri by the Government of Indi"
Salman Khan,"Abdul Rashid Salim Salman Khan (pronounced [səlˈmɑːn xɑːn, -kʰɑːn̪]; born 27 December 1965) is an Indian actor, film producer, and television personality who predominantly works in Hindi films. In a career spanning over three decades, his awards include two National Film Awards as a film producer, and two Filmfare Awards as an actor. He has been cited in the media as one of the most popular and co"
Aamir Khan,"Mohammed Aamir Hussain Khan (pronounced [ˈaːmɪr xaːn]; born 14 March 1965) is an Indian actor, filmmaker, and television personality who works in Hindi films. Referred to as ""Mr. Perfectionist"" in the media, he is known for his work in a variety of film genres, particularly in films which raise social issues like education and gender equality, or which have a positive impact on society in India or"
Akshay Kumar,"Akshay Hari Om Bhatia (born Rajiv Hari Om Bhatia; 9 September 1967), known professionally as Akshay Kumar (pronounced [əkˈʂəj kʊˈmaːɾ]), is an Indian actor and film producer working in Hindi cinema. Referred to in the media as ""Khiladi Kumar"", through his career spanning over 30 years, Kumar has appeared in over 150 films and has won several awards, including two National Film Awards and two Filmf"
Hrithik Roshan,"Hrithik Roshan (Hindi: [ˈɾɪt̪ɪk ɾoːʃən]; born 10 January 1974) is an Indian actor who works in Hindi cinema. He has portrayed a variety of characters and is known for his dancing skills. One of the highest-paid actors in India, he has won many awards, including six Filmfare Awards, of which four were for Best Actor. Starting from 2012, he has appeared in Forbes India's Celebrity 100 several times "
Ranbir Kapoor,"Ranbir Kapoor (pronounced [ɾəɳˈbiːɾ kəˈpuːɾ]; born 28 September 1982) is an Indian actor known for his work in Hindi-language films. He is one of the highest-paid actors of Hindi cinema and has featured in Forbes India's Celebrity 100 list since 2012. Kapoor is the recipient of several awards, including seven Filmfare Awards."
Ranveer Singh,"Ranveer Singh Bhavnani (pronounced [rəɳˈʋiːr sɪŋ]; born 6 July 1985) is an Indian actor who works in Hindi films. He is the recipient of several awards, including five Filmfare Awards. He is among the highest-paid Indian actors and has been featured in Forbes India's Celebrity 100 list since 2012."
Amitabh Bachchan,"Amitabh Bachchan (né Srivastava; 11 October 1942) is an Indian actor who works in Hindi cinema. He is often considered one of the greatest, most accomplished and commercially successful actors in the history of Indian cinema. With a cinematic career spanning over five decades, he has played in over 200 films. Bachchan is often hailed as the Shahenshah of Bollywood, Sadi Ke Mahanayak (translated as"
Ajay Devgn,"Vishal Veeru Devgan (born 2 April 1969), known professionally as Ajay Devgn, is an Indian actor, film director, and producer. One of the most prolific actors of Hindi cinema, Devgn has appeared in over 100 films and has won numerous accolades, including four National Film Awards and four Filmfare Awards. In 2016, he was honoured by the Government of India with the Padma Shri, the country's fourth-"
Saif Ali Khan,"Saif Ali Khan (pronounced [ˈsæːf əˈli xaːn]; born Sajid Ali Khan Pataudi; 16 August 1970) is an Indian actor and film producer who primarily works in Hindi films. The titular head of the Pataudi family since 2011, he is the son of actress Sharmila Tagore and cricketer Mansoor Ali Khan Pataudi. Khan has won several awards, including a National Film Award and seven Filmfare Awards, and received the "
